City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,"Thinadhoo,Mv",0.5333,72.9333,few clouds,83.91,70,19,8.23,MV,2021-09-20 07:54:22
182,"Vestmannaeyjar,Is",63.4427,-20.2734,overcast clouds,51.33,87,96,26.84,IS,2021-09-20 07:54:25
183,"Waingapu,Id",-9.6567,120.2641,few clouds,86.2,54,19,19.64,ID,2021-09-20 07:54:27
184,"Sao Joao Da Barra,Br",-21.6403,-41.0511,overcast clouds,73.89,84,100,6.38,BR,2021-09-20 07:54:28
185,"Southbridge,Nz",-43.8167,172.25,clear sky,52.84,86,0,11.12,NZ,2021-09-20 07:54:30
186,"Mahebourg,Mu",-20.4081,57.7,scattered clouds,76.24,64,40,14.97,MU,2021-09-20 07:54:31
187,"Road Town,Vg",18.4167,-64.6167,few clouds,79.2,75,21,15.12,VG,2021-09-20 07:54:32
188,"Fairbanks,Us",64.8378,-147.7164,overcast clouds,45.3,76,90,1.14,US,2021-09-20 07:51:31
189,"Shirokiy,Ru",49.758,129.523,overcast clouds,60.85,60,89,4.23,RU,2021-09-20 07:54:35
190,"Krasnoselkup,Ru",65.7,82.4667,overcast clouds,35.26,86,100,16.67,RU,2021-09-20 07:54:37
191,"Olga,Ru",43.7444,135.2892,overcast clouds,61.36,67,100,6.08,RU,2021-09-20 07:54:38
192,"Coquimbo,Cl",-29.9533,-71.3436,clear sky,47.93,93,0,5.75,CL,2021-09-20 07:54:40
193,"Baikunthpur,In",23.25,82.55,scattered clouds,86.32,60,47,2.21,IN,2021-09-20 07:54:41
194,"Camacha,Pt",33.0833,-16.3333,broken clouds,69.22,64,75,16.11,PT,2021-09-20 07:54:44
195,"Muros,Es",42.7762,-9.0603,clear sky,63.23,82,1,12.57,ES,2021-09-20 07:54:45
196,"Kamaishi,Jp",39.2667,141.8833,broken clouds,79.75,72,83,2.15,JP,2021-09-20 07:54:46
197,"Piacabucu,Br",-10.4056,-36.4344,broken clouds,73.44,85,78,6.13,BR,2021-09-20 07:54:48
198,"Kiunga,Pg",-6.1219,141.2906,overcast clouds,75.99,98,99,2.46,PG,2021-09-20 07:54:49
199,"Adrar,Dz",25.75,-1.0,overcast clouds,92.25,14,98,9.73,DZ,2021-09-20 07:54:51
200,"Havre-Saint-Pierre,Ca",50.2334,-63.5986,clear sky,46.4,87,1,2.3,CA,2021-09-20 07:54:52
201,"Khatanga,Ru",71.9667,102.5,light snow,33.44,100,100,11.16,RU,2021-09-20 07:54:53
202,"Yelizovo,Ru",53.1873,158.3805,few clouds,51.94,71,20,13.42,RU,2021-09-20 07:54:55
203,"Meulaboh,Id",4.1363,96.1285,overcast clouds,82.6,73,96,8.9,ID,2021-09-20 07:54:56
204,"Gornyak,Ru",50.9942,81.4661,overcast clouds,52.09,34,100,16.62,RU,2021-09-20 07:54:58
205,"Ternate,Id",0.8,127.4,overcast clouds,82.38,74,90,2.8,ID,2021-09-20 07:54:59
206,"Dunedin,Nz",-45.8742,170.5036,scattered clouds,52.81,79,42,4.0,NZ,2021-09-20 07:52:08
207,"Cidreira,Br",-30.1811,-50.2056,overcast clouds,66.18,98,100,19.53,BR,2021-09-20 07:55:05
208,"Tevaitoa,Pf",-16.7833,-151.5,few clouds,78.26,74,13,16.02,PF,2021-09-20 07:55:06
209,"La Primavera,Co",5.4906,-70.4092,overcast clouds,76.3,85,96,0.69,CO,2021-09-20 07:55:08
210,"Katsuura,Jp",35.1333,140.3,clear sky,78.84,72,0,18.05,JP,2021-09-20 07:55:09
211,"Pevek,Ru",69.7008,170.3133,overcast clouds,29.71,72,99,3.98,RU,2021-09-20 07:55:10
212,"Merauke,Id",-8.4667,140.3333,overcast clouds,78.13,87,100,14.47,ID,2021-09-20 07:55:12
213,"Hay River,Ca",60.8156,-115.7999,light rain,44.58,93,90,2.3,CA,2021-09-20 07:55:13
214,"Rocha,Uy",-34.4833,-54.3333,overcast clouds,61.79,99,100,4.25,UY,2021-09-20 07:55:15
215,"Imeni Poliny Osipenko,Ru",52.4201,136.4853,overcast clouds,55.38,65,100,6.35,RU,2021-09-20 07:55:16
216,"Bitung,Id",1.4451,125.1824,broken clouds,79.65,75,58,7.65,ID,2021-09-20 07:55:17
217,"Saint-Pierre,Pm",46.7654,-56.1695,clear sky,54.12,70,10,37.02,PM,2021-09-20 07:55:20
218,"Karratha,Au",-20.7377,116.8463,scattered clouds,94.93,14,49,9.8,AU,2021-09-20 07:55:23
219,"Ilorin,Ng",8.5,4.55,broken clouds,77.36,94,75,0.0,NG,2021-09-20 07:55:24
220,"Yellowknife,Ca",62.456,-114.3525,broken clouds,37.92,100,75,2.3,CA,2021-09-20 07:55:27
221,"Dicabisagan,Ph",17.0818,122.4157,overcast clouds,85.89,69,92,5.75,PH,2021-09-20 07:55:28
222,"Kirovsk,Ru",67.6148,33.6727,clear sky,41.11,61,5,6.04,RU,2021-09-20 07:55:29
223,"Matagami,Ca",49.7502,-77.6328,broken clouds,57.31,62,75,11.5,CA,2021-09-20 07:55:31
224,"Toccoa,Us",34.5773,-83.3324,broken clouds,73.78,94,75,0.0,US,2021-09-20 07:55:32
225,"Hibbing,Us",47.4272,-92.9377,broken clouds,74.66,73,78,12.95,US,2021-09-20 07:55:36
226,"Zabol,Ir",31.0287,61.5012,clear sky,93.18,14,0,26.46,IR,2021-09-20 07:55:38
227,"Khorixas,Na",-20.3667,14.9667,clear sky,73.56,15,0,6.22,NA,2021-09-20 07:55:39
228,"Livani,Lv",56.3543,26.1758,overcast clouds,41.07,87,100,11.16,LV,2021-09-20 07:55:40
229,"Myitkyina,Mm",25.3833,97.4,overcast clouds,86.76,65,86,1.43,MM,2021-09-20 07:55:44
230,"Saint-Joseph,Re",-21.3667,55.6167,light rain,73.76,74,33,14.07,RE,2021-09-20 07:55:47
231,"Sao Gabriel Da Cachoeira,Br",-0.1303,-67.0892,broken clouds,71.67,96,63,1.45,BR,2021-09-20 07:55:48
