City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Oktyabrskiy,54.4815,53.471,42.69,65,86,10.27,RU,2021-09-18 15:08:34
206,Cherskiy,68.75,161.3,30.42,76,100,13.51,RU,2021-09-18 15:08:35
207,Tual,-5.6667,132.75,80.01,81,100,21.18,ID,2021-09-18 15:08:35
208,Tornio,65.8481,24.1466,46.42,71,100,7.38,FI,2021-09-18 15:08:35
209,Salalah,17.0151,54.0924,81.09,88,93,6.89,OM,2021-09-18 15:08:36
210,Carnarvon,-24.8667,113.6333,64.47,68,0,20.71,AU,2021-09-18 15:08:36
211,Sorong,-0.8833,131.25,75.74,89,100,5.08,ID,2021-09-18 15:05:59
212,Chuy,-33.6971,-53.4616,68.11,66,22,5.84,UY,2021-09-18 15:08:37
213,Mount Gambier,-37.8333,140.7667,50.54,73,88,12.15,AU,2021-09-18 15:08:38
214,Pacific Grove,36.6177,-121.9166,59.58,85,2,3.0,US,2021-09-18 15:03:53
215,Port Hardy,50.6996,-127.4199,51.1,94,100,9.28,CA,2021-09-18 15:08:38
216,Januaria,-15.4833,-44.3667,91.11,10,0,7.72,BR,2021-09-18 15:08:39
217,Sovetskiy,61.3614,63.5842,34.34,97,100,11.68,RU,2021-09-18 15:08:39
218,Socorro,31.6546,-106.3033,82.56,35,1,6.91,US,2021-09-18 15:08:40
219,Marabba,12.35,32.1833,84.02,56,73,9.62,SD,2021-09-18 15:08:40
220,Mucurapo,10.6667,-61.5333,89.26,65,88,2.44,TT,2021-09-18 15:08:41
221,Agadez,19.75,10.25,101.46,8,7,5.06,NE,2021-09-18 15:08:41
222,Portland,45.5234,-122.6762,58.98,94,90,3.0,US,2021-09-18 15:04:57
223,Husavik,66.0449,-17.3389,52.2,48,67,5.57,IS,2021-09-18 15:08:42
224,Nshamba,-1.7983,31.5511,71.13,64,56,4.05,TZ,2021-09-18 15:08:42
225,Pau,43.4167,-0.5833,67.5,94,75,10.36,FR,2021-09-18 15:08:42
226,Hami,42.8,93.45,75.69,19,48,6.4,CN,2021-09-18 15:08:43
227,Christchurch,-43.5333,172.6333,39.47,93,28,3.44,NZ,2021-09-18 15:06:56
228,Manamadurai,9.7,78.4833,81.3,63,100,11.25,IN,2021-09-18 15:08:43
229,Lufilufi,-13.8745,-171.5986,80.64,77,11,11.65,WS,2021-09-18 15:08:44
230,Isangel,-19.55,169.2667,69.58,77,32,14.63,VU,2021-09-18 15:08:44
231,Palmer,42.1584,-72.3287,76.62,79,75,6.91,US,2021-09-18 15:08:45
232,Clyde River,70.4692,-68.5914,29.98,79,97,5.19,CA,2021-09-18 15:08:45
233,Svetlyy,54.675,20.1347,51.85,61,97,15.57,RU,2021-09-18 15:08:46
234,Komsomolskiy,40.4272,71.7189,77.72,25,0,4.61,UZ,2021-09-18 15:08:46
235,Mvuma,-19.2792,30.5283,71.26,38,9,12.41,ZW,2021-09-18 15:08:47
236,Oda,35.1833,132.5,69.51,87,72,8.5,JP,2021-09-18 15:08:47
237,Xapuri,-10.6517,-68.5044,95.83,36,1,3.42,BR,2021-09-18 15:08:47
238,Camana,-16.6228,-72.7111,64.06,75,69,8.66,PE,2021-09-18 15:08:48
239,Amapa,1.0,-52.0,92.88,41,100,3.47,BR,2021-09-18 15:08:48
240,Ostrovnoy,68.0531,39.5131,41.83,83,60,4.41,RU,2021-09-18 15:08:49
241,Thompson,55.7435,-97.8558,51.82,71,100,9.4,CA,2021-09-18 15:08:49
242,Kupang,-10.1667,123.5833,76.73,76,10,9.06,ID,2021-09-18 15:08:50
243,Alihe,50.5667,123.7167,40.24,68,84,2.17,CN,2021-09-18 15:08:50
244,Concordia,-31.393,-58.0209,71.67,68,75,5.75,AR,2021-09-18 15:08:51
245,Saint Anthony,45.0205,-93.218,66.25,61,1,4.0,US,2021-09-18 15:08:51
246,Tripoli,32.8752,13.1875,88.47,47,0,14.52,LY,2021-09-18 15:08:51
247,Sergeyevka,53.88,67.4158,44.19,87,100,8.5,KZ,2021-09-18 15:08:52
248,Viedma,-40.8135,-62.9967,67.37,29,100,6.58,AR,2021-09-18 15:08:52
249,Namibe,-15.1961,12.1522,67.64,72,16,12.8,AO,2021-09-18 15:08:53
250,Chernenko,44.365,39.3103,64.72,84,100,1.48,RU,2021-09-18 15:08:53
251,Bengkulu,-3.8004,102.2655,76.57,89,66,8.48,ID,2021-09-18 15:08:53
252,Juneau,58.3019,-134.4197,46.09,95,40,0.0,US,2021-09-18 15:08:54
253,Elizabeth City,36.2946,-76.2511,81.05,81,41,8.37,US,2021-09-18 15:08:54
254,Lompoc,34.6391,-120.4579,60.31,80,90,0.0,US,2021-09-18 15:08:55
255,Storforshei,66.4043,14.5233,51.66,73,100,4.56,NO,2021-09-18 15:08:55
256,Iquitos,-3.7481,-73.2472,84.24,70,20,2.3,PE,2021-09-18 15:08:55
257,Belmonte,-15.8631,-38.8828,79.3,59,29,7.4,BR,2021-09-18 15:08:56
258,Vestmanna,62.1564,-7.1664,52.72,87,75,14.97,FO,2021-09-18 15:08:56
259,Pedasi,7.5333,-80.0333,82.45,73,100,2.62,PA,2021-09-18 15:08:57
260,Marquette,46.5333,-87.6335,62.82,70,65,3.04,US,2021-09-18 15:08:58
261,Juba,4.8517,31.5825,77.7,75,94,3.76,SS,2021-09-18 15:08:58
262,Dalby,-27.1833,151.2667,59.85,77,92,6.2,AU,2021-09-18 15:08:58
263,Sao Filipe,14.8961,-24.4956,78.67,83,58,8.66,CV,2021-09-18 15:08:59
264,Kem,64.9555,34.5793,43.84,71,74,4.68,RU,2021-09-18 15:08:59
265,Robertsganj,24.7,83.0667,78.93,84,100,3.76,IN,2021-09-18 15:04:54
266,Roebourne,-20.7833,117.1333,74.48,49,0,5.79,AU,2021-09-18 15:09:00
267,Nanlong,31.3533,106.0631,66.51,88,100,0.29,CN,2021-09-18 15:09:01
268,Bonga,7.2833,36.2333,63.9,98,100,2.55,ET,2021-09-18 15:09:01
269,Seydi,39.4816,62.9137,85.19,15,0,12.46,TM,2021-09-18 15:09:02
270,Santiago Del Estero,-27.7951,-64.2615,77.81,36,96,8.7,AR,2021-09-18 15:06:36
271,Souillac,-20.5167,57.5167,72.36,77,8,9.82,MU,2021-09-18 15:09:03
272,Khandbari,27.3747,87.2039,72.1,96,55,1.86,NP,2021-09-18 15:09:03
273,Bramming,55.4695,8.7001,62.11,82,75,6.91,DK,2021-09-18 15:09:04
274,Barguzin,53.6167,109.6167,46.26,75,0,3.71,RU,2021-09-18 15:09:05
275,Yar-Sale,66.8333,70.8333,33.94,98,100,29.53,RU,2021-09-18 15:09:05
276,Bilma,18.6853,12.9164,102.24,10,31,5.79,NE,2021-09-18 15:09:06
277,Aykhal,66.0,111.5,28.27,79,9,3.15,RU,2021-09-18 15:09:06
278,Sakakah,29.9697,40.2064,94.44,15,0,5.97,SA,2021-09-18 15:08:05
279,Rocha,-34.4833,-54.3333,69.4,61,1,5.79,UY,2021-09-18 15:09:07
280,Hurghada,27.2574,33.8129,84.16,55,0,15.28,EG,2021-09-18 15:08:46
281,Grand Haven,43.0631,-86.2284,70.45,52,20,1.01,US,2021-09-18 15:09:07
282,Rapid Valley,44.0625,-103.1463,83.43,22,0,15.01,US,2021-09-18 15:09:08
283,Zonguldak,41.25,31.8333,72.99,44,75,1.05,TR,2021-09-18 15:09:08
284,Puerto Del Rosario,28.5004,-13.8627,80.35,57,20,12.66,ES,2021-09-18 15:07:43
285,Muros,42.7762,-9.0603,74.16,62,33,13.22,ES,2021-09-18 15:09:09
286,Markova,48.6758,24.4138,60.39,79,80,6.93,UA,2021-09-18 15:09:09
287,Russell,32.3502,-85.1999,81.68,78,90,0.0,US,2021-09-18 15:09:10
288,Tazovskiy,67.4667,78.7,42.8,92,100,8.16,RU,2021-09-18 15:09:10
289,Tawang,27.5833,91.8667,56.57,94,93,1.45,IN,2021-09-18 15:09:11
290,Sisimiut,66.9395,-53.6735,35.78,41,56,6.62,GL,2021-09-18 15:09:11
291,Beringovskiy,63.05,179.3167,43.18,71,10,6.44,RU,2021-09-18 15:09:12
292,Healdsburg,38.6105,-122.8692,59.65,82,90,0.0,US,2021-09-18 15:09:12
293,Ibia,-19.4783,-46.5389,90.34,22,6,4.81,BR,2021-09-18 15:09:12
294,Wajir,1.7471,40.0573,93.38,27,13,16.15,KE,2021-09-18 15:09:13
